WorkerId,WorkerIdMapping
A35BY30TC8WCL4,worker_0
ABM77ZQWCHPNX,worker_1
AVZ76FUE8VET9,worker_2
A3KNO82DZ519HG,worker_3
A3SDFAOJW87FGP,worker_4
A1IZ4NX41GKU4X,worker_5
A2ARHK50FQ79YC,worker_6
A314XJY8V1YL12,worker_7
A2U31V169A20GY,worker_8
A3OZ8KF0HWSVWK,worker_9
A26ZENZ5G8AEGM,worker_10
A1NM7ZPZ3NH412,worker_11
ANVAFB99K5RKP,worker_12
A3NAHN61XJ3ZAT,worker_13
A2ZUCKYJE4DPV7,worker_14
A2AVFNOKFHQ2ME,worker_15
A8028AFBBS29G,worker_16
A14PFRHG0A2YY9,worker_17
A3GNQDFPZALU92,worker_18
A3UV55HC87DO9C,worker_19
AZNIEFUIVB2H0,worker_20
A29VL3MZE7YPBZ,worker_21
A38DC3BG1ZCVZ2,worker_22
AE861G0AY5RGT,worker_23
AURYD2FH3FUOQ,worker_24
A207IHY6GERCFO,worker_25
A20HZD952T4B2O,worker_26
A26UIS59SY4NM6,worker_27
A26K8OELA8ZDI9,worker_28
A2TG7EEQ2XG2IK,worker_29
AVQGY7FCU80XP,worker_30
A1XAOEDK0Y2KBT,worker_31
A14W0AXTJ3R19V,worker_32
A8KHWKKGAGOH0,worker_33
A2WNW8A4MOR7T7,worker_34
A1CF6U3GF7DZEJ,worker_35
A6U2C66WQ7QQN,worker_36
A28G4QO0DRY8OZ,worker_37
A1S88VQY8G8CNC,worker_38
A1SCNO7L71ITFY,worker_39
A2ELXYKRPPGRPB,worker_40
A2EI075XZT9Y2S,worker_41
A2UCKZZI9KBBCV,worker_42
